iter	Passed	Remaining
411	4141	5910
412	4150	5899
413	4160	5888
414	4169	5878
415	4178	5865
416	4188	5856
417	4198	5845
418	4207	5834
419	4217	5824
420	4227	5814
421	4237	5804
422	4248	5795
423	4261	5788
424	4272	5780
425	4283	5772
426	4293	5761
427	4303	5751
428	4313	5741
429	4322	5730
430	4332	5719
431	4341	5707
432	4351	5698
433	4361	5687
434	4370	5676
435	4379	5665
436	4388	5654
437	4398	5643
438	4407	5632
439	4416	5621
440	4426	5610
441	4435	5599
442	4445	5589
443	4456	5580
444	4467	5571
445	4478	5563
446	4487	5551
447	4497	5541
448	4508	5532
449	4517	5521
450	4527	5511
451	4537	5501
452	4546	5489
453	4555	5478
454	4564	5467
455	4573	5456
456	4582	5445
457	4591	5433
458	4600	5421
459	4610	5411
460	4620	5402
461	4630	5391
462	4640	5382
463	4652	5373
464	4664	5366
465	4676	5359
466	4686	5348
467	4696	5338
468	4706	5329
469	4717	5319
470	4726	5308
471	4735	5297
472	4745	5287
473	4754	5276
474	4763	5265
475	4773	5255
476	4783	5245
477	4792	5234
478	4802	5223
479	4812	5213
480	4821	5202
481	4832	5192
482	4841	5182
483	4852	5173
484	4864	5165
485	4877	5159
486	4889	5150
487	4901	5142
488	4914	5135
489	4924	5125
490	4936	5117
491	4947	5108
492	4958	5099
493	4968	5089
494	4980	5081
495	4990	5071
496	4998	5059
497	5009	5049
498	5018	5038
499	5028	5028
500	5037	5017
501	5047	5007
502	5058	4998
503	5070	4990
504	5081	4981
505	5090	4970
506	5100	4959
507	5111	4950
508	5120	4939
509	5131	4929
510	5140	4919
511	5149	4908
512	5159	4897
513	5168	4886
514	5177	4875
515	5186	4864
516	5195	4853
517	5204	4842
518	5213	4832
519	5223	4821
520	5233	4811
521	5245	4803
522	5257	4795
523	5269	4786
524	5279	4776
525	5288	4765
526	5300	4757
527	5313	4749
528	5323	4739
529	5333	4729
530	5342	4719
531	5353	4709
532	5362	4698
533	5372	4688
534	5382	4678
535	5392	4667
536	5401	4657
537	5410	4646
538	5420	4636
539	5430	4626
540	5441	4616
541	5451	4606
542	5464	4598
543	5473	4587
544	5483	4578
545	5496	4569
546	5506	4560
547	5516	4550
548	5527	4540
549	5537	4530
550	5547	4520
551	5557	4510
552	5568	4501
553	5579	4491
554	5589	4481
555	5599	4471
556	5608	4460
557	5617	4449
558	5626	4438
559	5636	4428
560	5646	4418
561	5658	4410
562	5670	4401
563	5680	4391
564	5689	4380
565	5700	4371
566	5711	4361
567	5720	4350
568	5730	4340
569	5740	4330
570	5749	4320
571	5761	4310
572	5771	4300
573	5781	4290
574	5791	4280
575	5802	4271
576	5814	4262
577	5824	4252
578	5836	4244
579	5848	4235
580	5860	4226
581	5870	4216
582	5880	4205
583	5892	4197
584	5901	4186
585	5911	4176
586	5920	4165
587	5929	4154
588	5939	4144
589	5949	4134
590	5959	4124
591	5969	4114
592	5979	4104
593	5989	4094
594	5998	4083
595	6009	4073
596	6020	4064
597	6034	4056
598	6046	4047
599	6057	4038
600	6071	4030
601	6080	4020
602	6091	4010
603	6101	4000
604	6111	3989
605	6120	3979
606	6129	3968
607	6138	3957
608	6149	3948
609	6158	3937
610	6168	3927
611	6177	3916
612	6188	3906
613	6198	3896
614	6208	3886
615	6217	3875
616	6226	3865
617	6236	3854
618	6247	3845
619	6258	3835
620	6268	3825
621	6281	3817
622	6294	3808
623	6303	3798
624	6312	3787
625	6322	3777
626	6331	3766
627	6340	3756
628	6350	3745
629	6361	3735
630	6371	3726
631	6381	3715
632	6390	3704
633	6398	3693
634	6409	3684
635	6419	3674
636	6429	3663
637	6439	3654
638	6450	3644
639	6461	3634
640	6474	3625
641	6483	3615
642	6492	3604
643	6503	3595
644	6513	3585
645	6523	3574
646	6531	3563
647	6541	3553
648	6550	3542
649	6559	3532
650	6569	3521
651	6578	3511
652	6587	3500
653	6596	3489
654	6606	3479
655	6615	3469
656	6625	3459
657	6636	3449
658	6648	3440
659	6658	3430
660	6670	3421
661	6680	3411
662	6691	3401
663	6703	3392
664	6713	3382
665	6724	3372
666	6733	3361
667	6742	3350
668	6751	3340
669	6760	3329
670	6770	3319
671	6779	3308
672	6788	3298
673	6799	3288
674	6808	3278
675	6817	3267
676	6826	3257
677	6836	3246
678	6847	3237
679	6859	3228
680	6868	3217
681	6879	3207
682	6889	3197
683	6899	3187
684	6911	3178
685	6921	3168
686	6931	3157
687	6939	3147
688	6949	3136
689	6959	3126
690	6968	3116
691	6977	3105
692	6987	3095
693	6996	3084
694	7006	3074
695	7015	3064
696	7027	3054
697	7035	3044
698	7046	3034
699	7057	3024
700	7068	3015
701	7080	3005
702	7090	2995
703	7103	2986
704	7114	2977
705	7125	2967
706	7134	2956
707	7144	2946
708	7154	2936
709	7165	2926
710	7175	2916
711	7184	2906
712	7194	2895
713	7204	2885
714	7213	2875
715	7223	2864
716	7232	2854
717	7243	2845
718	7253	2834
719	7264	2825
720	7276	2815
721	7285	2805
722	7296	2795
723	7305	2785
724	7315	2774
725	7325	2764
726	7335	2754
727	7345	2744
728	7354	2733
729	7363	2723
730	7373	2713
731	7382	2702
732	7392	2692
733	7401	2682
734	7410	2671
735	7420	2661
736	7430	2651
737	7441	2641
738	7453	2632
739	7466	2623
740	7476	2613
741	7487	2603
742	7500	2594
743	7510	2584
744	7520	2574
745	7531	2564
746	7541	2554
747	7550	2543
748	7560	2533
749	7570	2523
750	7579	2512
751	7590	2503
752	7602	2493
753	7612	2483
754	7621	2473
755	7632	2463
756	7643	2453
757	7655	2444
758	7666	2434
759	7675	2423
760	7685	2413
761	7694	2403
762	7704	2393
763	7714	2383
764	7723	2372
765	7732	2362
766	7742	2351
767	7751	2341
768	7761	2331
769	7771	2321
770	7780	2311
771	7790	2300
772	7798	2290
773	7808	2279
774	7817	2269
775	7827	2259
776	7837	2249
777	7847	2239
778	7857	2229
779	7869	2219
780	7878	2209
781	7888	2199
782	7899	2189
783	7908	2178
784	7917	2168
785	7927	2158
786	7937	2148
787	7947	2138
788	7957	2127
789	7967	2117
790	7975	2107
791	7984	2097
792	7993	2086
793	8003	2076
794	8013	2066
795	8023	2056
796	8032	2045
797	8043	2035
798	8054	2026
799	8067	2016
800	8077	2006
801	8087	1996
802	8098	1986
803	8108	1976
804	8118	1966
805	8128	1956
806	8138	1946
807	8148	1936
808	8156	1925
809	8165	1915
810	8176	1905
811	8185	1895
812	8195	1884
813	8204	1874
814	8214	1864
815	8223	1854
816	8234	1844
817	8245	1834
818	8258	1825
819	8267	1814
820	8277	1804
821	8286	1794
822	8296	1784
823	8309	1774
824	8320	1765
825	8332	1755
826	8342	1745
827	8352	1735
828	8363	1725
829	8374	1715
830	8384	1705
831	8393	1694
832	8404	1684
833	8413	1674
834	8422	1664
835	8432	1654
836	8443	1644
837	8454	1634
838	8464	1624
839	8476	1614
840	8485	1604
841	8496	1594
842	8507	1584
843	8515	1573
844	8524	1563
845	8534	1553
846	8544	1543
847	8554	1533
848	8564	1523
849	8575	1513
850	8585	1503
851	8594	1492
852	8605	1483
853	8616	1473
854	8626	1462
855	8636	1452
856	8647	1442
857	8660	1433
858	8672	1423
859	8682	1413
860	8693	1403
861	8704	1393
862	8715	1383
863	8724	1373
864	8734	1363
865	8744	1353
866	8754	1342
867	8764	1332
868	8774	1322
869	8783	1312
870	8793	1302
871	8802	1292
872	8812	1281
873	8821	1271
874	8830	1261
875	8840	1251
876	8852	1241
877	8863	1231
878	8872	1221
879	8883	1211
880	8893	1201
881	8904	1191
882	8916	1181
883	8926	1171
884	8935	1161
885	8945	1151
886	8955	1140
887	8966	1130
888	8976	1120
889	8986	1110
890	8996	1100
891	9007	1090
892	9017	1080
893	9027	1070
894	9038	1060
895	9049	1050
896	9061	1040
897	9071	1030
898	9081	1020
899	9094	1010
900	9104	1000
901	9113	990
902	9122	979
903	9131	969
904	9140	959
905	9149	949
906	9159	939
907	9168	928
908	9178	918
909	9187	908
910	9196	898
911	9206	888
912	9216	878
913	9227	868
914	9236	858
915	9247	847
916	9257	837
917	9270	828
918	9282	818
919	9292	808
920	9303	798
921	9315	788
922	9325	778
923	9336	767
924	9347	757
925	9356	747
926	9368	737
927	9378	727
928	9387	717
929	9397	707
930	9406	697
931	9416	687
932	9424	676
933	9434	666
934	9444	656
935	9455	646
936	9466	636
937	9477	626
938	9486	616
939	9495	606
940	9505	595
941	9516	585
942	9525	575
943	9536	565
944	9545	555
945	9553	545
946	9563	535
947	9574	525
948	9584	515
949	9594	504
950	9604	494
951	9613	484
952	9623	474
953	9633	464
954	9644	454
955	9654	444
956	9664	434
957	9676	424
958	9686	414
959	9695	403
960	9707	393
961	9717	383
962	9725	373
963	9734	363
964	9744	353
965	9753	343
966	9762	333
967	9772	323
968	9781	312
969	9790	302
970	9799	292
971	9809	282
972	9819	272
973	9828	262
974	9838	252
975	9848	242
976	9858	232
977	9870	222
978	9880	211
979	9889	201
980	9900	191
981	9910	181
982	9920	171
983	9929	161
984	9939	151
985	9948	141
986	9957	131
987	9967	121
988	9976	110
989	9985	100
990	9994	90
991	10004	80
992	10013	70
993	10022	60
994	10033	50
995	10043	40
996	10054	30
997	10068	20
998	10079	10
999	10090	0
