iter	MultiClass
178	0.4202909513
179	0.4192841414
180	0.4182173423
181	0.4174631154
182	0.4169160476
183	0.4159626042
184	0.4152317609
185	0.4145206968
186	0.4132505054
187	0.4124287125
188	0.4116121842
189	0.4108841278
190	0.4101696609
191	0.4091488543
192	0.4083539622
193	0.4076402284
194	0.4067481189
195	0.4059627859
196	0.4048023828
197	0.404045618
198	0.4029013664
199	0.40212457
200	0.4014708781
201	0.4006507362
202	0.4001689645
203	0.3997934917
204	0.3985112537
205	0.3980730704
206	0.3972700302
207	0.3963462327
208	0.3956390642
209	0.3952646917
210	0.3944670311
211	0.3936090167
212	0.392990444
213	0.3921657801
214	0.3914487099
215	0.3905839321
216	0.3900091159
217	0.3895507168
218	0.3889630402
219	0.3884178252
220	0.3873977936
221	0.3869878233
222	0.3864215291
223	0.3858898784
224	0.3853970618
225	0.3838382581
226	0.3829579345
227	0.3824399666
228	0.3819196984
229	0.381103112
230	0.3806617896
231	0.3802879175
232	0.3798237117
233	0.3792851093
234	0.377910775
235	0.3777737513
236	0.3769233898
237	0.3759304005
238	0.3753358088
239	0.3747647613
240	0.374316184
241	0.3733865562
242	0.3729292174
243	0.3726252801
244	0.3719838969
245	0.3715556249
246	0.3712112509
247	0.3702991623
248	0.3699520193
249	0.3692680613
250	0.3688893062
251	0.3683420147
252	0.3679964773
253	0.367433622
254	0.366717364
255	0.3659902288
256	0.3654878383
257	0.3650349743
258	0.3642976768
259	0.3639434547
260	0.3632954969
261	0.3623957763
262	0.3619128695
263	0.3615730094
264	0.361123923
265	0.360651899
266	0.3601475672
267	0.3595271661
268	0.3588046976
269	0.358147825
270	0.3574956816
271	0.3571545722
272	0.3567953479
273	0.3561352775
274	0.3558146507
275	0.3555575651
276	0.3550719202
277	0.3543369439
278	0.3537932619
279	0.3533123777
280	0.3526761126
281	0.3521051587
282	0.3516104209
283	0.3513356729
284	0.3510487841
285	0.3506947759
286	0.3502067305
287	0.3499548633
288	0.3495277809
289	0.3490342358
290	0.3485246888
291	0.3477443711
292	0.3469905295
293	0.3463669287
294	0.3458660301
295	0.3457517317
296	0.3453251622
297	0.3445590379
298	0.3437300854
299	0.3432064613
300	0.3425662528
301	0.3422938746
302	0.3420728816
303	0.3415796967
304	0.3411928944
305	0.3407502767
306	0.3402863479
307	0.3399881081
308	0.3393361537
309	0.3388741728
310	0.3382304383
311	0.33756172
312	0.3371837201
313	0.3369909881
314	0.3366588092
315	0.336245197
316	0.3360412427
317	0.33567646
318	0.3352961476
319	0.3350529895
320	0.3348118694
321	0.3344112347
322	0.3339384598
323	0.3337334098
324	0.3334137194
325	0.3331053112
326	0.3327311887
327	0.3323254207
328	0.332067664
329	0.3317491517
330	0.3312169041
331	0.3306826837
332	0.3303256855
333	0.3298841523
334	0.3293426026
335	0.328789052
336	0.3284805608
337	0.3280764204
338	0.3277099665
339	0.327402896
340	0.326972884
341	0.3267454871
342	0.3263480798
343	0.3259136308
344	0.3255533115
345	0.3248878224
346	0.3242367982
347	0.3239024627
348	0.3235978071
349	0.3232162904
350	0.3227085634
351	0.322244799
352	0.3218346306
353	0.321392275
354	0.3211781195
355	0.3208416482
356	0.3206444319
357	0.3204474802
358	0.3201531719
359	0.3198088784
360	0.3195707399
361	0.3193419828
362	0.3190852837
363	0.318602592
364	0.3183378233
365	0.3180728703
366	0.3175859744
367	0.3170912961
368	0.3165724344
369	0.316255479
370	0.3160444667
371	0.3158398281
372	0.3155384066
373	0.3151853626
374	0.3146751441
375	0.3143375044
376	0.3139066678
377	0.3136547662
378	0.3131301582
379	0.312729162
380	0.3125691059
381	0.312180924
382	0.311560212
383	0.3113087204
384	0.3108507969
385	0.3104553691
386	0.3102007632
387	0.3097706677
388	0.3092768384
389	0.3088385246
390	0.3085050332
391	0.3079706724
392	0.3077612696
393	0.3074653072
394	0.3072964758
395	0.3069763497
396	0.3062772565
397	0.3059829078
398	0.3057801079
399	0.3054007492
400	0.3051911266
401	0.3047637174
402	0.3041412238
403	0.303937235
404	0.303718144
405	0.3033410696
406	0.3032234526
407	0.3029355998
408	0.3024032177
409	0.302326674
410	0.3019711113
411	0.3018146558
412	0.3013654294
413	0.3009517763
414	0.3006453062
415	0.3002983507
416	0.3001231565
417	0.2999496443
418	0.2998424368
419	0.2992906037
420	0.2990102696
421	0.2987031136
422	0.2984362365
423	0.2982558234
424	0.2979489207
425	0.2977597216
426	0.2976170478
427	0.297075424
428	0.2968527513
429	0.2967303683
430	0.2963698451
431	0.2961822861
432	0.296110784
433	0.2956459089
434	0.2950890588
435	0.2948109168
436	0.2945029837
437	0.2941590522
438	0.2939102061
439	0.2936106273
440	0.2934943855
441	0.2931693354
442	0.2929414801
443	0.2926783412
444	0.2924869911
445	0.2920673374
446	0.2918472619
447	0.2916768388
448	0.291356977
449	0.2907905601
450	0.290500359
451	0.2902274293
452	0.2901228078
453	0.289663536
454	0.2893599178
455	0.288961492
456	0.2886823702
457	0.2886386224
458	0.2885732418
459	0.288160089
460	0.2879087997
461	0.2877221077
462	0.2871309115
463	0.2868185402
464	0.2864794064
465	0.2859718888
466	0.2854515377
467	0.2852228077
468	0.2850279935
469	0.2847459244
470	0.2845809475
471	0.2843148004
472	0.2841931049
473	0.2839671384
474	0.2837104923
475	0.2834457784
476	0.283281487
477	0.2828891102
478	0.282660565
479	0.28232707
480	0.2820751127
481	0.2818755487
482	0.2816729584
483	0.281297418
484	0.2808618201
485	0.2803721113
486	0.2799678238
487	0.2796828816
488	0.2792587459
489	0.2790242227
490	0.2785803914
491	0.2784281437
492	0.2780338511
493	0.2776942186
494	0.2775522936
495	0.2772135023
496	0.2768744916
497	0.2765898167
498	0.2762761673
499	0.2759339701
500	0.2753163878
501	0.2751499283
502	0.2748950568
503	0.2747197344
504	0.2743906848
505	0.2741518888
506	0.2739346594
507	0.2737927713
508	0.2736029739
509	0.2733441176
510	0.2728685411
511	0.272528923
512	0.2721139489
513	0.2716829767
514	0.2714405151
515	0.2713152474
516	0.2708661865
517	0.2707623538
518	0.2706788158
519	0.2703949714
520	0.2701048516
521	0.2697161989
522	0.2696268445
523	0.2694351522
524	0.2691807327
525	0.2689571632
526	0.2686855448
527	0.2683235395
528	0.2680198486
529	0.267683386
530	0.2674561187
531	0.267195065
532	0.2671080342
533	0.2667296568
534	0.2663456762
535	0.2662532247
536	0.266052053
537	0.2658638478
538	0.2655311925
539	0.2654183858
540	0.2649508357
541	0.2646592601
542	0.2645061801
543	0.2641337007
544	0.2639661231
545	0.2636820606
546	0.2634695806
547	0.2631843593
548	0.2630127595
549	0.2627327501
550	0.2624619286
551	0.2622585433
552	0.2618836451
553	0.2615329374
554	0.2612379243
555	0.2610152566
556	0.2608256771
557	0.2607573156
558	0.2606400322
559	0.2605260367
560	0.2601553136
561	0.2600736435
562	0.2597194035
563	0.2596053539
564	0.259432182
565	0.2588151157
566	0.2585294982
567	0.2582320757
568	0.2578840697
569	0.257790498
570	0.2573427832
571	0.2571166951
572	0.2568438578
573	0.2566298983
574	0.2562740807
575	0.2559599542
576	0.2556409019
577	0.2553325865
578	0.2551122779
579	0.2549105411
580	0.2547122974
581	0.2544439435
582	0.2542242817
583	0.2540023401
584	0.2539163412
585	0.2537943278
586	0.2536028158
587	0.2534159822
588	0.2530930528
589	0.252894965
590	0.2527084741
591	0.2525253317
592	0.2523001845
593	0.2521234639
594	0.2520112968
595	0.2518899
596	0.251717383
597	0.2516282585
598	0.251210275
599	0.2509188497
600	0.2506033436
601	0.2503541112
602	0.2500198803
603	0.2497954706
604	0.249727383
605	0.2494675898
606	0.2492815651
607	0.2490973852
608	0.2489863512
609	0.2486374141
610	0.2485668497
611	0.2481498064
612	0.2479389266
613	0.2477762848
614	0.2473532288
615	0.2471896602
616	0.2469296224
617	0.2468018894
618	0.2466457783
619	0.2464562528
620	0.2458250613
621	0.2456441667
622	0.2453582881
623	0.245154422
624	0.2449768184
625	0.2447944125
626	0.2445791211
627	0.2444602528
628	0.2443107961
629	0.244113394
630	0.2439251126
631	0.2436418899
632	0.2435273061
633	0.2433025269
634	0.2431188832
635	0.2428925083
636	0.2426038509
637	0.2423829448
638	0.2422060218
639	0.2419760231
640	0.2417634383
641	0.2415613776
642	0.2414208468
643	0.2411103009
644	0.2408083493
645	0.2407294682
646	0.2404859102
647	0.2404078066
648	0.2401706092
649	0.2399944301
650	0.2398470832
651	0.2397052186
652	0.2394577912
653	0.2392227682
654	0.2389112715
655	0.2385747621
656	0.2383302577
657	0.2381113965
658	0.2378152124
659	0.2376933984
660	0.2375253275
661	0.2373221665
662	0.2370754806
663	0.236849599
664	0.2365919962
665	0.2363830814
666	0.2363052536
667	0.235919802
668	0.2358507874
669	0.2356468949
670	0.2354492137
671	0.2352598884
672	0.2351818974
673	0.2349744215
674	0.2348494677
675	0.2346699472
676	0.2345850123
677	0.2344314233
678	0.2342136022
679	0.2340958816
680	0.2340431315
681	0.2338724129
682	0.2337297379
683	0.2335489854
684	0.2333520632
685	0.2330161884
686	0.2328633267
687	0.2326156292
688	0.232330776
689	0.2321252689
690	0.2320256034
691	0.2319142785
692	0.2316607251
693	0.2313972749
694	0.2312919671
695	0.2309520029
696	0.2306169025
697	0.2305059561
698	0.2304051091
699	0.2302345887
700	0.2299388433
701	0.2296733547
702	0.2293004283
703	0.2291724038
704	0.2290300065
705	0.228897998
706	0.2285592833
707	0.228385841
708	0.2281428747
709	0.2278742471
710	0.2277117984
711	0.2275972518
712	0.227487088
713	0.2273670115
714	0.2271923614
715	0.2270695736
716	0.2269033267
717	0.2267248644
718	0.2266466506
719	0.2264530188
720	0.2262053399
721	0.2260794967
722	0.2258696707
723	0.2258025301
724	0.2254226908
725	0.2252096122
726	0.225178508
727	0.2248715764
728	0.2247312367
729	0.2245591161
730	0.2243802937
731	0.2242536161
732	0.2241179141
733	0.2239446268
734	0.2236920324
735	0.2234980359
736	0.2234368609
737	0.2232926176
738	0.2231786131
739	0.2229819954
740	0.2227341521
741	0.2225231774
742	0.2223559075
743	0.2221983396
744	0.2221136115
745	0.2219954251
746	0.2218772491
747	0.2218299305
748	0.2216867068
749	0.2213911305
750	0.2212947658
751	0.2211074873
752	0.2209160778
753	0.2204631709
754	0.2203462784
755	0.2201300249
756	0.2199432998
757	0.2196510177
758	0.2195031249
759	0.2192864617
760	0.2190934997
761	0.2190379131
762	0.2189636854
763	0.2187811238
764	0.2186906557
765	0.2185101965
766	0.2184258785
767	0.218248833
768	0.2180520214
769	0.2179591107
770	0.2178297804
771	0.217714941
772	0.2174862765
773	0.2171830785
774	0.2170843352
775	0.2168637817
776	0.216690558
777	0.2166306581
778	0.2164445603
779	0.2162895751
780	0.2161147306
781	0.2158557771
782	0.2157775056
783	0.2156257482
784	0.2154502195
785	0.2153659937
786	0.2152071446
787	0.2150020817
788	0.2148199847
789	0.2145392098
790	0.2144220024
791	0.2142933829
792	0.2141613613
793	0.2138063298
794	0.2136444072
795	0.2134442295
796	0.2133397657
797	0.2131694759
798	0.2129610707
799	0.2128753876
800	0.2126370867
801	0.2124696157
802	0.2123369115
803	0.2121954133
804	0.2120650089
805	0.2118423716
806	0.2117037625
807	0.2116536668
808	0.211533867
809	0.2113420295
810	0.211214098
811	0.2111368854
812	0.2109747431
813	0.2108761413
814	0.2107191337
815	0.2105614846
816	0.2103430247
817	0.2101443649
818	0.2099492005
819	0.2098038762
820	0.2096950096
821	0.2094691144
822	0.2092363577
823	0.209132096
824	0.208897829
825	0.2088174857
826	0.208718953
827	0.2084741545
828	0.2083975513
829	0.2082902707
830	0.2081882697
831	0.2081259454
832	0.2079300619
833	0.2077030642
834	0.2075756933
835	0.2071408935
836	0.2069786568
837	0.2066612547
838	0.2065901355
839	0.2062776602
840	0.2060272633
841	0.2059321843
842	0.2057667013
843	0.2057323906
844	0.2055251153
845	0.2053554888
846	0.2052492948
847	0.2051040358
848	0.2049924166
849	0.2048473977
850	0.2047128013
851	0.2044960672
852	0.204306524
853	0.2042296123
854	0.2041441933
855	0.2040393792
856	0.2038658042
857	0.2036966771
858	0.2035489669
859	0.2034247673
860	0.2032396554
861	0.2030338657
862	0.202744945
863	0.2026083851
864	0.2023872525
865	0.2022488237
866	0.2021432511
867	0.2020462792
868	0.2019464899
869	0.2018060317
870	0.2016756414
871	0.2015335417
872	0.2013971804
873	0.2013167164
874	0.2011707102
875	0.2009671713
876	0.2007834979
877	0.2006211991
878	0.2004433147
879	0.2003673142
880	0.2002414598
881	0.2001250322
882	0.2000173316
883	0.1998432329
884	0.1996922822
885	0.1995040607
886	0.1993476544
887	0.1992109364
888	0.1989422964
889	0.1986612933
890	0.1984785955
891	0.1983476992
892	0.1981872627
893	0.198026931
894	0.1978208017
895	0.1977132442
896	0.1974827157
897	0.1973935107
898	0.1972043176
899	0.1970182823
900	0.1967217551
901	0.1966026526
902	0.1964868625
903	0.1963612755
904	0.1961199551
905	0.1959261359
906	0.1957089435
907	0.1955953288
908	0.1954475842
909	0.1953520363
910	0.1951918754
911	0.195061286
912	0.1949209678
913	0.1945996309
914	0.1942967758
915	0.1941564902
916	0.1939786184
917	0.1938814439
918	0.1937850402
919	0.1936220153
920	0.1934226694
921	0.1931987258
922	0.1930162494
923	0.1928921323
924	0.1927917586
925	0.1927402626
926	0.192640283
927	0.1925175811
928	0.1923518248
929	0.1922101781
930	0.1920826169
931	0.1919134965
932	0.1917999202
933	0.1916461149
934	0.1914714136
935	0.1913568609
936	0.191222444
937	0.1911505876
938	0.1910337933
939	0.1909375293
940	0.1908663049
941	0.1907241335
942	0.1905517449
943	0.1903563319
944	0.1902683933
945	0.1902349005
946	0.1901179995
947	0.1899654359
948	0.189700371
949	0.1896480729
950	0.1894021759
951	0.1893146186
952	0.1891662358
953	0.1890522978
954	0.1887621523
955	0.18870877
956	0.1886162367
957	0.1881681563
958	0.1879622008
959	0.1878801208
960	0.1875402373
961	0.1874480093
962	0.1873235344
963	0.1871490954
964	0.1869317709
965	0.18685554
966	0.1867643093
967	0.1866370516
968	0.1865414796
969	0.1864632428
970	0.1863605362
971	0.1862259238
972	0.186059298
973	0.1859607037
974	0.1857911961
975	0.1856634943
976	0.1855329704
977	0.1853316428
978	0.1852078695
979	0.185068443
980	0.1848769142
981	0.1848005779
982	0.1845771814
983	0.1844165476
984	0.1842593208
985	0.184134955
986	0.1839886921
987	0.1838291314
988	0.183623013
989	0.183489805
990	0.1832887698
991	0.183142092
992	0.1830921177
993	0.1829540158
994	0.1827149793
995	0.1825609513
996	0.1824150283
997	0.1822679143
998	0.1820967657
999	0.1819419633
